,tweet_id,favourites_count,retweet_count
2262,667369227918143488,361,163
2263,667211855547486208,487,241
2264,667200525029539841,606,260
2265,667192066997374976,382,105
2266,667188689915760640,736,414
2267,667182792070062081,14200,6162
2268,667177989038297088,189,55
2269,667176164155375616,606,463
2270,667174963120574464,238,82
2271,667171260800061440,219,88
2272,667165590075940865,2658,1127
2273,667160273090932737,254,62
2274,667152164079423490,47189,16921
2275,667138269671505920,4549,2191
2276,667119796878725120,326,127
2277,667090893657276420,329,125
2278,667073648344346624,397,122
2279,667070482143944705,82,14
2280,667065535570550784,163,46
2281,667062181243039745,214,53
2282,667044094246576128,182,50
2283,667012601033924608,442,220
2284,666996132027977728,242,93
2285,666983947667116034,2519,973
2286,666837028449972224,803,549
2287,666835007768551424,209,80
2288,666826780179869698,249,95
2289,666817836334096384,508,246
2290,666804364988780544,234,91
2291,666786068205871104,746,482
2292,666781792255496192,379,186
2293,666776908487630848,343,171
2294,666739327293083650,232,65
2295,666701168228331520,423,214
2296,666691418707132416,185,46
2297,666649482315059201,1099,610
2298,666644823164719104,228,78
2299,666454714377183233,507,207
2300,666447344410484738,99,19
2301,666437273139982337,120,47
2302,666435652385423360,161,52
2303,666430724426358785,307,193
2304,666428276349472768,161,81
2305,666421158376562688,309,112
2306,666418789513326592,119,45
2307,666411507551481857,428,320
2308,666407126856765440,103,37
2309,666396247373291520,161,81
2310,666373753744588802,180,88
2311,666362758909284353,753,555
2312,666353288456101888,211,71
2313,666345417576210432,283,131
2314,666337882303524864,190,88
2315,666293911632134144,485,342
2316,666287406224695296,141,63
2317,666273097616637952,167,75
2318,666268910803644416,99,34
2319,666104133288665088,13908,6306
2320,666102155909144576,76,11
2321,666099513787052032,149,64
2322,666094000022159362,158,70
2323,666082916733198337,111,43
2324,666073100786774016,312,157
2325,666071193221509120,139,57
2326,666063827256086533,458,211
2327,666058600524156928,108,57
2328,666057090499244032,284,136
2329,666055525042405380,421,232
2330,666051853826850816,1185,825
2331,666050758794694657,129,56
2332,666049248165822465,104,41
2333,666044226329800704,288,135
2334,666033412701032449,120,43
2335,666029285002620928,124,46
2336,666020888022790149,2498,492
